id	var	variant	verb	01A	02A	03B	04B	05C	06C	07D	08D	01E	02E	03F	04F	05G	06G	07H	08H	01I	02I	03J	04J	05K	06K	07L	08L
1	whq	outgoing	think	5	4	5	5	4	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5
2	whq	outgoing	bide ("stay")	1	2	5	4	3	3	4	4	2	4	3	2	5	2	4	3	5	5	3	2	2	4	5	5
3	whq	outgoing	see	2	3	5	5	3	3	4	4	2	3	2	2	5	5	4	4	5	5	5	5	4	5	5	5
4	whq	outgoing	think	5	3	5	5	4	4	5	4	4	5	5	5	5	5	5	5	5	5	5	5	4	4	5	5
5	whq	outgoing	say	5	3	5	5	4	5	5	5	4	5	4	4	5	5	5	1	5	5	5	5	4	5	5	4
6	whq	outgoing	think	3	2	5	3	2	2	2	5	1	4	4	5	5	3	3	1	5	5	5	5	5	4	5	5
7	whq	outgoing	make	5	4	5	4	5	4	5	4	4	5	3	4	5	5	5	4	5	5	4	4	5	4	5	5
8	whq	outgoing	care	3	2	2	1	2	2	3	3	1	2	2	1	2	2	4	1	5	5	1	5	1	1	4	3
9	whq	outgoing	go	2	4	5	4	3	3	2	5	3	2	5	3	5	1	3	1	5	5	2	5	4	4	5	5
10	whq	outgoing	come	2	2	5	4	3	2	4	2	3	5	3	3	5	3	4	5	5	5	3	4	4	5	5	5
11	whq	outgoing	know	4	3	5	4	4	5	5	4	2	5	4	4	5	5	5	5	5	5	4	5	4	3	5	5
12	whq	outgoing	hear	3	2	5	5	3	2	3	5	3	5	4	2	5	4	5	4	5	5	4	5	5	5	5	5
13	whq	outgoing	tell	2	2	5	3	1	2	1	3	1	1	2	2	3	2	3	1	5	5	1	2	3	2	4	5
14	whq	outgoing	give	2	1	4	3	1	2	2	2	2	1	2	1	5	1	3	1	5	5	1	4	2	2	3	5
15	whq	outgoing	run	1	2	3	2	1	3	1	3	2	2	3	3	5	3	4	2	5	5	4	2	1	1	3	5
16	whq	incoming	think	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
17	whq	incoming	come	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	4	5	5	5	5	5	4	5	5
18	whq	incoming	make	5	5	5	5	5	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5
19	whq	incoming	give	5	5	5	5	5	5	5	4	5	5	5	4	5	5	5	2	5	5	5	5	5	5	5	5
29	imp	outgoing	keep	5	4	5	5	4	4	5	5	4	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5
30	imp	outgoing	go	5	5	5	5	5	5	5	4	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5
31	imp	outgoing	give	5	2	5	5	4	4	3	4	3	4	4	2	5	3	5	2	5	5	5	5	3	3	5	4
32	imp	outgoing	take	3	3	5	5	3	4	5	5	4	4	4	4	5	5	5	5	5	5	5	5	4	4	5	5
33	imp	outgoing	hold	5	4	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5
34	imp	outgoing	make	4	3	5	4	4	4	4	4	2	4	3	3	4	4	5	4	5	5	4	4	4	3	5	5
35	imp	outgoing	come	5	3	5	5	5	5	4	5	4	4	4	4	5	5	5	5	5	5	5	5	4	5	5	5
36	imp	outgoing	bide ("stay")	4	4	5	5	4	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5
37	imp	outgoing	run	4	3	5	5	4	4	2	5	4	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5
38	imp	incoming	go	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	4	5	4
39	imp	incoming	make	5	5	5	5	5	5	1	5	4	5	4		5	5	5	5	5	5	4	5	3	1	5	5
40	imp	incoming	give	5	3	5	5	5	5	5	5	5	5	2	4	4	3	5	5	5	5	5	5	5	5	5	5
41	imp	incoming	keep	5	3	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	4
50	ynq	outgoing	see	5	3	5	4	4	4	5	5	3	5	5	3	5	5	5	3	5	5	5	5	5	4	5	5
51	ynq	outgoing	think	3	3	5	3	3	4	5	3	1	4	3	2	5	1	5	2	5	5	5	4	2	2	5	3
52	ynq	outgoing	care	3	2	4	3	2	3	5	4	2	1	3	2	5	2	5	3	5	4	2	1	3	4	4	4
53	ynq	outgoing	hear	3	2	5	3	3	2	4	3	3	5	4	2	5	5	5	4	5	5	4	4	5	2	5	5
54	ynq	outgoing	tell	2	2	4	2	2	2	2	3	1	1	2	2	3	1	3	2	5	5	1	1	2	1	4	5
55	ynq	outgoing	make	1	3	3	2	1	3	1	3	2	1	2	3	4	2	4	3	5	5	1	1	4	1	4	4
56	ynq	outgoing	know	1	2	5	2	3	4	4	4	2	4	5	3	5	5	5	4	5	5	3	2	4	2	4	5
57	ynq	outgoing	come	2	3	5	4	3	2	3	4	2	3	3	3	5	1	4	3	5	5	3	2	2	2	4	5
58	ynq	outgoing	say	2	3	4	2	2	3	2	3	2	3	2	3	4	4	3	2	5	5	1	2	4	2	4	3
59	ynq	outgoing	give	2	2	5	4	1	2	3	3	2	2	3	1	4	1	4	2	5	5	2	2	5	2	5	4
60	ynq	outgoing	bide ("stay")	2	2	4	4	2	3	3	3	2	4	4	2	4	2	4	3	5	5	4	1	2	2	4	5
61	ynq	outgoing	go	3	3	4	4	4	3	4	4	2	3	5	1	5	2	5	4	5	5	2	2	4	3	5	5
62	ynq	outgoing	walk	2	2	3	2	2	2	1	4	1	1	4	4	1	1	3	1	3	3	1	1	1	2	2	4
63	ynq	incoming	see	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	3	4	5	5
